用户,是否看过,评分,评论时间,有用数,评论,
蜉蝣,看过,推荐,2016/3/5 19:26,10,“你说羊失眠的时候会数自己吗？”哈哈哈哈哈哈哈。迷影梗加分。期待过高，其实就还好啦。,
帕拉,看过,推荐,2016/3/12 21:22,9,虽然还是励志萌系路线，但可以感觉迪斯尼明显长大了。故事也算峰回路转，经典电影的戏仿还挺有意思的。熊孩子估计看懵了，全场出奇的安静...[B],
花落  思量错,看过,推荐,2017/1/22 20:13,11,看过很多次了，女儿是看了一遍又一遍啊！看不够，别的就不说了！,
冰红深蓝,看过,还行,2016/5/22 17:39,17,迪斯尼又一次成功的美式主旋律价值观营销。形式还原为真人电影则仅是平庸俗套的侦破片，社会拯救与小人物自我救赎叠加。动画包装后的所谓反差萌和致敬梗并不曾打动我，反而兀自怀念起[木偶奇遇记][无敌破坏王]的真诚。多重比较之下，皮克斯的大部分作品亦显然棋高一着。（7.0/10）,
feifeiRun,看过,较差,2016/3/7 9:25,19,不是我故意唱唱反调，只是动物托邦强行粉饰动物庄园到了不惜“请和食物做朋友”的地步实在令人不愉快，结尾那场歌舞秀和五十六个民族是一家的大联欢实则毫无区别，迪斯尼的美式民俗汇演并不能掩盖其下残酷真实的问题：究竟谁是野蛮？谁又是文明？,
mumudancing,看过,还行,2016/3/22 20:20,18,过分政治正确就无趣了。,
陆钓雪de飘飘,看过,推荐,2016/6/22 3:47,19,隐喻很多，操得一手好现代政治哲学，把马基雅维利和霍布斯充分用起来了。结尾微弱，大概迪斯尼视域总不出现代自由主义吧。大抵还是乔治·奥威尔《动物农场》那句话更为贴近现实：所有的动物都是平等的，有的动物比别的动物更平等。最爱的还是教父和树懒两个段子，后现代戏仿很到位不下姜文，美国特色吧,
默默的蘑菇,看过,推荐,2016/4/9 8:50,15,还不错，看着不会觉得浪费了电影票，不过迪士尼动画电影剧情依旧单薄,
Bless_U,看过,还行,2018/1/5 21:01,128,树懒真的超级搞笑，哈哈哈，不过狐狸形象不是很喜欢，觉得跟兔子没什么cp感。,
吃薯片的猫,看过,还行,2018/1/26 14:25,81,典型的美式说教文化输出电影。,
炫3D,看过,推荐,2017/5/12 14:55,25,成年人，却喜欢在这样的动画片里找快乐和哲理。,
波波维奇,看过,推荐,2018/3/29 22:45,33,虽然又是一次政治正确，但看完后觉得整体挺好，小动物的设定很好，主题曲不错，适合全家去看的。,
迷宝,看过,力荐,2016/3/4 20:59,41,好看哭了！但是树懒要红了，不开心！,
обломов,看过,较差,2016/5/21 11:04,16,如果把狐狸等等食肉兽换成绿教徒，泥萌还会觉得萌吗？,
��,看过,推荐,2017/3/23 19:10,9,我跟我朋友看了一遍又跟我侄子看了一遍，哈哈哈哈挺好的,
黄小胖,看过,推荐,2016/3/13 16:21,17,一部春风化雨，紧扣美国国内外焦点的进步主义主旋律电影；一部除了某些笑点和卡通形象设计之外剧情和人物形象十分老套的动画片。可能因为拍成动画片，卖个萌，那种宣传说教的意图就不那么让人尴尬了。Try everything? Why not try Trump?,
翠蝶🌸羽生✨💫,看过,力荐,2018/4/9 11:49,12,在动物城每个动物都有无限可能，挺佩服兔子朱迪为了实现自己当警察的梦想拼尽全力最后实现了梦想，又为了动物们的安危发挥自己的潜能，真棒！,
麦垄风来翠浪斜,看过,推荐,2017/12/20 0:12,85,怎么说呢，对于里面的树懒先生，因为我是他的迷妹，我对他的喜爱只能用啊啊啊啊啊啊啊啊才能形容了。,
琦殿,看过,推荐,2016/3/4 16:17,65,兔子和狐狸没有CP感啊！,
大时代.歌姬,看过,推荐,2016/3/5 22:23,47,好莱坞的政治正确病简直到了晚期……,
縄鸊。,看过,推荐,2018/3/27 8:01,55,挺好看的，喜欢给闪电取得这个名字，反差萌！,
jiojio,看过,力荐,2016/3/1 23:20,124,简直就是布鲁克林奶奶动画大电影啊！Jake狐和Amy兔！,
夏了夏天,看过,力荐,2016/3/3 11:12,110,卧槽！！！简直就是惊喜不断啊~~~~,
yiS,看过,力荐,2016/3/4 23:03,265,看完之后朋友问了一句，如果这部片不是动画，还能过审吗？的确，在越发压抑的审查制度下，这部片能突围，实在很难得，很值得一看！,
后天的雨,看过,力荐,2016/11/1 19:37,23,迪士尼的动画总是在水准之上的，这一部更是完全不会让人失望。影片构造了一个简单美好而又残酷真实的动物城，不同人眼中看到的它是不一样的，孩子眼中的是充满童真乐趣的，而大人们呢，看到的是各种对现实世界的隐喻。这是个成人童话，是只要敢想勇于去挑战就是成功，是正义终将战胜邪恶，的乌托邦。,
介意,看过,较差,2016/3/25 23:58,13,強者憑藉改良舊有的刻板印象製造了全新的政治正確。,
曜晶75,看过,力荐,2017/3/17 17:37,11,“闪电”承包了绝大部份的笑点，一部融合了想象与现实的电影。动画制作水平达到了新的高度。,
北山公园,看过,力荐,2016/9/21 7:13,20,迪士尼每年都有好看的动画电影，没去影院看3d版真可惜,
曾于里,看过,力荐,2016/3/8 17:23,10,真是美好之极的电影啊，其实就像儿时的童话故事，告诉我们真善美。即便真实的世界更复杂更残酷，但我们的内心当中总要留有善的底子,
傻白甜,看过,力荐,2018/2/4 23:25,70,这是我看过最萌的身高差了！好看到爆炸，有梦想的人是幸福的！还～有～树～懒～那～里～真～的～是～笑～尿～了233333333333,
姨妈的鸭,看过,力荐,2016/3/8 22:17,81,消除动物偏见从你我做起：我是鸭子我也可以是女的。,
栗,看过,推荐,2016/3/7 10:22,46,当兔子柔情地将爪放在狐狸的爪上，狐狸假装不动声色缩回，我的脑洞已经不受控制了。怎么讲，狐狸和兔子之间显然弥漫着男女的张力，但最多友谊一场，毕竟不符合世界观，这种似是而非的微妙恰好击中了我。,
小约翰子奇,看过,力荐,2016/3/4 11:47,61,我们要尊重彼此的差异，而不是给食肉动物贴上野蛮的标签。狐狸尼克实在太酷太暖了。朱迪道歉那里它背对着用胡萝卜笔录下录音，然后说一些很苏很调皮的话。最佳拉风朋友非你莫属。,
