用户,是否看过,评分,评论时间,有用数,评论
陈哈,看过,推荐,2016/9/12 23:10,57,3.75分吧。框架之内，无火花，无过失。结尾为了煽情而不顾逻辑，扣分。且不说已见了无数僵尸的军队，是否连僵尸式走路姿势都分不出来。喊一嗓子“你们是僵尸还是正常人啊”有这么难？
仰望星空不好吃,看过,推荐,2016/9/12 10:01,62,看一半想起来胖子对小女孩说要等两个人上完厕所是什么意思，很甜呀。虽然爱煽情，设定也各种俗套，但还是觉得角色都很饱满，特别各种对比很有意思，僵尸变异速度好快&拖住火车的僵尸群好酷！僵尸世界大战里印象最深的好像也是叠罗汉。PS想看血浆丧尸什么的这片还是算了。
狷介有乌青,看过,推荐,2016/9/11 22:41,52,群演比老美丧尸的战斗力直接提升N个水平，且在没有一枪爆头的设置下加进了手撕丧尸的技能。（每一个灾难片都得有一个让观众恨得咬牙切齿的角色一直活到电影的四分之三进度条）
黄青蕉,看过,力荐,2016/10/28 20:59,45,节奏特别好
陈哈,看过,推荐,2016/9/12 23:10,57,3.75分吧。框架之内，无火花，无过失。结尾为了煽情而不顾逻辑，扣分。且不说已见了无数僵尸的军队，是否连僵尸式走路姿势都分不出来。喊一嗓子“你们是僵尸还是正常人啊”有这么难？
霜天盈月,看过,还行,2018/2/11 0:34,33,这电影很不错，算是经典的影片吧，危难时刻见真情……
仰望星空不好吃,看过,推荐,2016/9/12 10:01,62,看一半想起来胖子对小女孩说要等两个人上完厕所是什么意思，很甜呀。虽然爱煽情，设定也各种俗套，但还是觉得角色都很饱满，特别各种对比很有意思，僵尸变异速度好快&拖住火车的僵尸群好酷！僵尸世界大战里印象最深的好像也是叠罗汉。PS想看血浆丧尸什么的这片还是算了。
狷介有乌青,看过,推荐,2016/9/11 22:41,52,群演比老美丧尸的战斗力直接提升N个水平，且在没有一枪爆头的设置下加进了手撕丧尸的技能。（每一个灾难片都得有一个让观众恨得咬牙切齿的角色一直活到电影的四分之三进度条）
浣熊市垃圾回收,看过,力荐,2016/9/14 3:09,45,近年来最好的丧尸片之一，剧本和演技都不敷衍，完全不是那些流水线糙货。能认真而诚恳地拍部烂大街题材的商业片相当值得赞许，因为很多时候这种片都摆明了抢你钱+强奸你智商还没让你爽。但是这部电影不同，它有一个小而完整的故事，感情激发恰到好处，一气呵成。小女孩演技绝赞！我哭肿了眼睛！
豆友170823098,看过,推荐,2018/2/16 10:37,33,孟子说“人之初，性本善”；荀子说“人之初，性本恶”。人性到底是善还是恶！！
鸟倦知还,看过,推荐,2016/9/11 23:48,33,韩影在解剖人性和煽情方面一直是把好手，新加入的丧尸元素也为紧张的节奏和恐怖的气氛加分不少，总的来说，是部不错的商业片。
肥肥鱼,看过,力荐,2016/9/13 12:26,58,会跑酷的丧尸，就问你怕不怕……
北野。🍊,看过,推荐,2021/8/30 11:08,57,在评论区看到有些毛没长齐的说什么：最后那一枪要是开了，就是神作了！并带有明显的失望的情绪，这条评价还一万八千人点赞？不是，我就很奇怪，完全泯灭了人性就能成为你们眼里的神作？这是什么思路？NMLGB、草来
