用户,是否看过,评分,评论时间,有用数,评论,,
MR.Charles,看过,力荐,2016/12/7 6:35,19,剧情就像它的配乐一样舒缓 煽情也很克制 中途还穿插着不少嘴炮 大家一边抽泣 一边笑 故事开始于海上结束于海上 这座海边小镇是如此的压抑 就像这个故事一样充斥着悲伤与痛苦 凯西真的演得太好了 那种眼神中的空洞与绝望 值得拿男主,,
MR.Charles,看过,力荐,2016/12/7 6:35,19,剧情就像它的配乐一样舒缓 煽情也很克制 中途还穿插着不少嘴炮 大家一边抽泣 一边笑 故事开始于海上结束于海上 这座海边小镇是如此的压抑 就像这个故事一样充斥着悲伤与痛苦 凯西真的演得太好了 那种眼神中的空洞与绝望 值得拿男主,,
17950,看过,力荐,2017/4/26 1:31,29,剧本实在太屌了吧。有些事有些人本来就走不出来，慢慢来，。走不出来就走不出来吧，总有些病是治不好的，总有一天会带我们走。你觉得很消极吗，我作为一个虚无主义者觉得这片子无比的积极！还有什么比拒绝自我欺骗更积极的！？,,
刘康康,看过,力荐,2017/8/27 22:08,13,编剧太厉害太老练。虽然整个故事完全是生活流，但情绪的转折却编排得非常精致，同时情绪流的发展自然而然，没有那种为了转折而营造出的刻意感。本来以为故事会很抑郁，但其实大部分时间都充满幽默。当一切似乎都慢慢变好时，男主街头偶遇前妻，影片情绪直转急下，让之前的幽默显得更加痛彻心扉。,,
Joanna,看过,还行,2016/12/5 8:08,19,Soundtrack is horrible, distracting and annoying. Character development doesn't make sense to me. Cathy is good though.,
禾希食反,看过,力荐,2017/1/25 23:00,16,冬天来了，春天还会很远。,,
女神的秋裤,看过,推荐,2017/2/26 21:19,23,动人的故事，迷人的小镇。悲惨的往事，可能只有拥有惨痛经历的人才会为之动容，生活对于每个人都不一样，有些人活下来就是胜利。,,
朝阳区陆依萍,看过,推荐,2017/2/3 10:53,19,不太同意“我们都有权利不与自己的过去和解”，而是有些事情就根本和解不了.....看着Lee后背孩子们的小脚丫，泪就一直不停的掉....,,
豆友50184804,看过,力荐,2016/12/22 6:56,18,"在漫长的生命中，有一种不忍叫做""I don't want him to be in the freezer""，有一种无奈叫做“I can't beat it""",,
陈哈,看过,力荐,2017/1/26 12:25,24,一个人所能承受的悲伤极限,,
Morning,看过,力荐,2017/2/2 18:24,13,无法永远的占有真理，就像永远不能爱自己一样。迂回的走在海边，砂砾从脚底下艰难的流过，我们都被困在了黑夜里，不想存在了。公路上看到的街景，被路灯覆盖着，空荡荡的光压在上面。我们的身影还看得见吗？倏忽间好像已掉进了白天。我要去从树影中寻觅，从宽阔的马路上找到安静。,,
gus,看过,还行,2017/2/24 18:31,20,这个是美国的曼彻斯特 跟英格兰没有任何关系,,
17950,看过,力荐,2017/4/26 1:31,29,剧本实在太屌了吧。有些事有些人本来就走不出来，慢慢来，。走不出来就走不出来吧，总有些病是治不好的，总有一天会带我们走。你觉得很消极吗，我作为一个虚无主义者觉得这片子无比的积极！还有什么比拒绝自我欺骗更积极的！？,,
刘康康,看过,力荐,2017/8/27 22:08,13,编剧太厉害太老练。虽然整个故事完全是生活流，但情绪的转折却编排得非常精致，同时情绪流的发展自然而然，没有那种为了转折而营造出的刻意感。本来以为故事会很抑郁，但其实大部分时间都充满幽默。当一切似乎都慢慢变好时，男主街头偶遇前妻，影片情绪直转急下，让之前的幽默显得更加痛彻心扉。,,
