用户,是否看过,评分,评论时间,有用数,评论,
古尔齐亚,看过,力荐,2017/9/17 19:43,24,故事不复杂，胜在叙事手法和节奏把握，美中不足是，律师就不能换个人演么，反正都是戴假面，导致我早就看出那是他妈了毫无悬念,
波谷,看过,力荐,2022/2/21 22:57,36,前文线索：1.来到公寓的“古德曼女士”比计划的早到了。2.父亲在车上说母亲演技特别好。3.“古德曼女士”的手机铃声实为儿子手机铃声（midi）的变奏，属C大调，音符为mi· re· do· si（间隔号为升8度）。4.“古德曼女士”的几句“您现在落入我的手中了”“我对他的了解，超乎您的想象”都非常有深层意味。案件如果能按照母亲根据事实调整编织的路线走完，那只能说整个巴黎的监控都失效了，后半部分严格说还是bug，还是改了5星，问题不在第二次观看会发现bug的剧情上，而是演员精湛超一流的演技与第一次观影时该电影对努力融入影片的我的强烈震慑。,
飞林沙,看过,力荐,2017/4/24 0:19,32,1. 开车要系安全带 2. 回家要拉窗帘,
袁牧,看过,推荐,2018/9/10 11:16,13,居然是我在豆瓣标注的第1000部电影，必须提醒一下，类似这种强剧情的悬疑片，不要提前看豆瓣短评，因为准有个把贱人会在评论区里说，导演煞笔，我早知道谁谁是凶手，第几分第几秒的情节是个bug,狗比不懂只能剧透表现渊博，非常影响心情。这种自以为有脑子的人怎么会懂，除了密室诡计、杀人外，你最好感受一些导演如何用不同人的讲述推动故事的发展，怎样控制节奏，怎样一层层对不可控的结局进行铺垫，以及不可靠叙事和电影多义性的价值。
河堤上的貓,看过,力荐,2018/4/15 23:11,12,反轉再反轉簡直太出乎意料之外了！,
太常寺协律郎,看过,力荐,2017/9/17 15:18,23,“如果你为人父为人母，经历过那种痛苦，你也会和我一样无所畏惧。” 故事构思太巧妙！看完又是感动又是敬佩，爸爸妈妈的爱简直太伟大，要给编剧献上膝盖了！还有开头那个小哥那么帅为啥就演了具尸体啊......,
廢匪肥·老🐰,看过,力荐,2017/4/6 19:14,15,“不遭遇苦難，就不會有救贖”，以為只是一念之差犯下的錯，其實都是日積月累種下的因果，而不斷需要用謊言去遮掩。不同的敘事構成了同一故事的多面，扣人心弦breathtaking的懸疑片！（司法公正呢？）,
迷宝,看过,力荐,2017/4/5 23:33,25,就不喜欢猜结局 就喜欢放弃思考被带节奏 抖m如我表示很好看,
T.V.Zoe ி,看过,推荐,2017/9/21 23:53,8,據說直到最後一分鐘都有反轉 所以太早猜到律師最後就沒high起來 但是整部片子清晰 克制 這位媽媽真的演技炸裂！中間那一下那個眼神真的雞皮疙瘩都起來了！,
阿措,看过,推荐,2017/9/12 21:54,27,腹黑总裁不敌戏精老人,
TOZ,看过,较差,2017/4/15 22:10,18,挺唬人的。反转结局硬凹过程，全片糟心弦乐烘托气氛消极逻辑理性快感。剪切、镜头不错，导演可能是个处女座。,
猫语猫寻,看过,力荐,2017/3/29 10:48,30,悬疑片最是考细节，尤其是这种加减混合运算，最喜欢的感觉反而不是结局，反而是当你用挑剔的眼光看它的时候，慢慢的你会发现前面觉得不合理的地方，后面就合理了起来，于是整体故事也越发合理起来，不管有没有猜到结局，都是神来之笔。西班牙——一个盛产优质悬疑片的国度。,
马达,看过,力荐,2017/9/27 23:29,33,看的时候觉得像东野圭吾希区柯克黑泽明库布里克，然后很想去住那种雪山里的酒店,
内陆飞鱼,看过,推荐,2017/8/16 9:00,20,这几年西班牙的惊悚片很突出，常有惊喜，剧本很细密，编排出彩，反转而不突兀，密室杀人一看就是伪造的，只是没想到……。,
小A,看过,推荐,2017/9/13 18:49,10,剧本编排是很好的，视听上只要顺利配合抖包袱，不出大错就行了。我看30分钟就大概知道大招了，不是悬疑设置不好，而是对于1年以上工作经验的娱乐记者（特别是摄影视频记者）来说很容易看出来。,
樹一,看过,力荐,2017/10/23 0:45,23,原本以为只是一个密室谋杀案，没想到剧情一路开挂，三重逆转，午夜VIP场看得超过瘾。,
null,看过,推荐,2017/4/26 15:01,21,即便猜出了结局，节奏和逻辑仍然非常赞。开车的时候一定要系安全带，千万不要玩手机。,
Vamei,看过,力荐,2018/10/5 22:53,15,如果沉车的位置，依然是一个谎言呢？,
斯齊佐飛力尼克,看过,推荐,2017/5/29 13:39,13,精彩！复仇心使人上进，易容术使人强大。,
韧勉,看过,力荐,2017/3/26 22:34,19,三重翻转，非常精彩，不过高智商的父母怎么能生出那么坑爹的娃。,
