排名,电影id,名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数
376,30295015,普拉吉布雷劳 Plagi Breslau,2018,帕特奇·维加,玛格查塔·柯查恰沃斯卡/Daria Widawska/Katarzyna Bujakiewicz/安德烈·格拉博夫斯基/Maria Dejmek/Ewa Kasprzyk/亚采克·贝勒/伊沃娜·别尔斯卡,悬疑/惊悚/犯罪,波兰语,波兰,7.4,4785,12.90%,45.90%,37.60%,2.80%,0.70%,1401
377,26762269,90年代中期 Mid90s,2018,乔纳·希尔,桑尼·苏尔季克/凯瑟琳·沃特斯顿/卢卡斯·赫奇斯/纳-凯尔·史密斯/奥伦·普雷纳特/吉奥·加利西亚/赖德·麦克劳克林/亚历克萨·德米/哈莫尼·科林/杰洛德·卡尔迈克/贾克斯·马尔科姆,剧情/喜剧,英语,美国,7.4,6307,18.10%,42.20%,34.20%,4.50%,1.00%,2370
378,30197911,破门,2018,徐耿,马顺洗/李虎城/彭一家/刘炷诗嫚/蒲浩宇/陈钶予/李金津川/徐谦/邓诗国/陈建宇/苏爱娟,剧情,汉语普通话,中国大陆,7.4,3980,13.60%,50.80%,30.40%,4.70%,0.50%,1659
379,30286112,乔纳斯 Jonas,2018,克里斯托夫·查理尔,费利克斯·马利陶德/尼古拉斯·鲍文斯/汤米·李·巴克/奥雷·阿蒂卡/玛丽·德纳尔诺/伊连·贝加拉/戴维·鲍伊特,剧情/爱情/同性,法语,法国,7.4,5206,15.50%,43.30%,36.20%,4.30%,0.70%,1838
380,30159390,我的冠军男友 Mario,2018,马塞尔·吉斯莱,麦克斯·胡巴赫/艾伦·阿尔塔拉斯/杰西·莫拉维克/朱格·普拉斯/多诺·穆格勒/安德烈亚斯·马蒂/希尔温·阿米尼/法比齐奥·波萨尼/朱利安·科奇林/加布里埃尔·诺亚·马瑞尔/施塔隆·安德森/乔利斯·格拉沃尔,剧情/爱情/同性/运动,瑞士德语 / 德语,瑞士,7.4,9894,15.40%,44.80%,35.90%,3.30%,0.70%,3772
381,30156101,黑井户疑案 黒井戸殺し,2018,城宝秀则,野村万斋/大泉洋/向井理/松冈茉优/秋元才加/和田正人/寺胁康文/藤井隆/今井朋彦/吉田羊/浅野和之/佐藤二朗/草刈民代/余贵美子/齐藤由贵/远藤宪一,剧情/悬疑/犯罪,日语,日本,7.4,4681,14.50%,46.80%,34.80%,3.30%,0.60%,1740
382,30143523,死亡天使 El ángel,2018,路易斯·奥特加,洛伦佐·法罗/奇诺·达林/丹尼尔·凡尼戈/梅赛黛斯·莫朗/玛莱娜·维拉/塞西莉亚·罗特/索菲亚·伊内斯·托尔内/皮特·蓝萨尼/马塞洛·坎切米/路易斯·尼科/威廉·普罗赛克,剧情/同性/传记/犯罪,西班牙语,阿根廷 / 西班牙,7.4,8123,16.80%,43.40%,34.00%,4.40%,1.30%,3065
383,26992036,旅猫日记 旅猫リポート,2018,三木康一郎,福士苍汰/高畑充希/广濑爱丽丝/大野拓朗/山本凉介/前野朋哉/竹内结子,剧情,日语,日本,7.4,5437,16.80%,41.30%,36.60%,4.20%,1.00%,2369
384,27601070,集中营里的摄影师 El fotógrafo de Mauthausen,2018,玛·塔尔加纳,马里奥·卡萨斯/理查德·范·韦登/阿兰·埃尔南德斯/阿德里亚·萨拉查/爱德华·布赫/斯特凡·韦纳特/弗兰克·费斯/卢卡·佩洛斯/玛卡蕾娜·戈麦斯/丹尼斯·乌伊洛基/玛丽安·科奇什,传记/历史/战争,西班牙语,西班牙,7.4,2363,14.30%,46.20%,36.40%,2.40%,0.70%,744
385,30386910,艾伦·德杰尼勒斯：感同身受 Ellen DeGeneres: Relatable,2018,乔尔·加兰,艾伦·德杰尼勒斯/劳拉·邓恩,喜剧/脱口秀,英语,美国,7.4,2002,18.60%,38.90%,35.70%,5.80%,1.10%,850
386,27149755,大浴场 Le grand bain,2018,吉尔·勒卢什,马修·阿马立克/伯努瓦·波尔沃德/吉约姆·卡内/玛琳娜·佛伊丝/菲烈·卡特林/让·雨果·安格拉德/维尔日妮·埃菲拉/费利克斯·莫阿蒂/莱拉·贝蒂/诺亚·阿比塔/彼埃尔·皮罗尔,剧情/喜剧,法语,法国,7.4,4126,14.70%,45.80%,35.10%,3.90%,0.50%,1765
387,27607255,自由了！ En liberté!,2018,皮埃尔·沙尔瓦多利,阿黛拉·哈内尔/皮奥·马麦/奥黛丽·塔图/达米安·勃纳尔/樊尚·埃尔巴兹/霍钦·丘特里/奥克塔夫·波斯维特/克里斯多夫·泰克,剧情/喜剧/犯罪,法语,法国,7.4,3203,16.80%,43.90%,33.00%,5.30%,1.10%,1445
388,26845720,只有大海知道,2018,崔永徽​​,黄尚禾/钟家骏/李凤英/张灵,剧情/歌舞/家庭/儿童,汉语普通话,中国台湾,7.4,1027,16.60%,43.70%,34.50%,3.70%,1.50%,278
389,26900391,女他,2018,周圣崴,吕伏阳/周圣崴/赵凯欣/韩睿达/岳嘉宝/陈雯/柳赛/斯琴/罗雪/赵威/孙承龙/韩昊辰/于良/尹明辉/甄鹏程/栾冬,动画/惊悚,无对白,中国大陆,7.4,4937,13.40%,51.10%,29.70%,4.10%,1.70%,2572
390,30143857,孤儿 Pupille,2018,珍妮·亨利,桑德琳娜·基贝兰/吉尔·勒卢什/埃洛迪·布歇/奥利维亚·科特/克洛蒂尔德·莫莱特/让-弗朗索瓦·斯泰弗南/布鲁诺·波达里德斯/缪缪/施特菲·塞尔马/布莱斯·赫雷来特/艾米丽·加瓦·卡恩/格莱高利·嘉德波瓦/提布尔·凡松/塞夫·哈杰迪,剧情,法语,法国,7.4,1767,14.30%,48.80%,32.30%,3.90%,0.60%,843
391,30232211,童年随之而去,2018,卢漉,芦展翔/崔璨/王文娜,剧情,汉语普通话,中国大陆,7.4,1432,18.80%,39.80%,33.60%,7.00%,0.80%,702
392,30159533,跑女战国行SP アシガールＳＰ～超時空ラブコメ再び～,2018,伊势田雅也,黑岛结菜/伊藤健太郎/松下优也/友坂理惠/川荣李奈/石黑贤/尾形一成,喜剧/爱情,日语,日本,7.4,1107,22.00%,35.90%,35.00%,6.00%,1.10%,413
393,30142045,彩塑男孩 Retablo,2018,阿尔瓦罗·德尔加多·阿帕里西奥,玛佳丽·索利埃/Amiel Cayo/Junior Bejar/Mauro Chuchon/Ubaldo Huamán/Hermelinda Luján/Ricardo Bromley López/Claudia Solís,剧情/同性,克丘亚语 / 西班牙语,秘鲁 / 德国 / 挪威,7.4,616,12.00%,49.90%,34.60%,2.60%,0.90%,215
394,2068290,风的另一边 The Other Side of the Wind,2018,奥逊·威尔斯,约翰·休斯顿/彼得·博格丹诺维奇/苏珊·斯塔丝伯格/奥雅·柯达/莉莉·帕尔默/艾德蒙·奥布莱恩/梅赛德丝·麦坎布雷奇/卡梅隆·米切尔/皮特·杰森/丹尼斯·霍珀/本尼·鲁宾/克洛德·夏布洛尔/斯特凡·奥德朗/亨利·雅格洛/保罗·马祖斯基,剧情,英语,美国 / 法国 / 伊朗,7.4,1448,21.00%,38.50%,32.80%,5.50%,2.10%,717
395,26908287,一生 Life Itself,2018,丹·福格尔曼,奥利维亚·库克/奥斯卡·伊萨克/奥利维亚·王尔德/塞缪尔·杰克逊/安东尼奥·班德拉斯/凯特琳·卡迈克尔/莱娅·柯丝达/曼迪·帕廷金/安妮特·贝宁/杰克·罗宾森/伊莎贝尔·杜兰特/费尔南达·安德拉德/塞尔吉奥·佩里斯-门切塔/阿莱克斯·莫尔纳/卢克·朱迪/费斯·洛根,剧情/爱情,英语,美国,7.4,1209,23.90%,36.30%,29.50%,8.40%,1.90%,377
